Dutch,English,Known
leuker,more fun,false
leukste,most fun,false
vreemd,strange,false
vreemder,stranger,false
vreemdste,strangest,false
normaal,normal,false
gewoon,ordinary,false
speciaal,special,false
verschillend,different,false
hetzelfde,the same,false
precies,exactly,false
bijna,almost,false
helemaal,completely,false
misschien,maybe,false
waarschijnlijk,probably,false
zeker,sure,false
onzeker,uncertain,false
mogelijk,possible,false
onmogelijk,impossible,false
natuurlijk,naturally,false
eindelijk,finally,false
plotseling,suddenly,false
langzaam,slowly,false
voorzichtig,carefully,false
hard,hard,false
zacht,soft,false
stil,quiet,false
luid,loud,false
open,open,false
dicht,closed,false
vol,full,false
leeg,empty,false
links,left,false
rechts,right,false
boven,above,false
onder,below,false
binnen,inside,false
buiten,outside,false
ergens,somewhere,false
nergens,nowhere,false
overal,everywhere,false
eerste,first,false
tweede,second,false
derde,third,false
vierde,fourth,false
vijfde,fifth,false
zesde,sixth,false
zevende,seventh,false
achtste,eighth,false
negende,ninth,false
tiende,tenth,false
laatste,last,false
volgende,next,false
vorige,previous,false
begin,beginning,false
einde,end,false
midden,middle,false
kant,side,false
deel,part,false
stuk,piece,false
soort,type,false
manier,way,false
reden,reason,false
probleem,problem,false
oplossing,solution,false
vraag,question,false
antwoord,answer,false
idee,idea,false
plan,plan,false
doel,goal,false
resultaat,result,false
gevolg,consequence,false
kans,chance,false
geluk,luck,false
pech,bad luck,false
succes,success,false
fout,mistake,false
falen,failure,false
keuze,choice,false
beslissing,decision,false
verandering,change,false
verschil,difference,false
vergelijking,comparison,false
verband,connection,false
relatie,relationship,false
liefde,love,false
haat,hate,false
vriendschap,friendship,false
vijandschap,enmity,false
respect,respect,false
vertrouwen,trust,false
angst,fear,false
moed,courage,false
hoop,hope,false
wanhoop,despair,false
blijdschap,joy,false
verdriet,sadness,false
boosheid,anger,false
jaloezie,jealousy,false
trots,pride,false
schaamte,shame,false
schuld,guilt,false
spijt,regret,false
vergiffenis,forgiveness,false
geduld,patience,false
ongeduld,impatience,false
wijsheid,wisdom,false
domheid,stupidity,false
kennis,knowledge,false
ervaring,experience,false
vaardigheid,skill,false
talent,talent,false
gave,gift,false
mogelijkheid,possibility,false
kans,opportunity,false
voordeel,advantage,false
nadeel,disadvantage,false
hulp,help,false
steun,support,false
advies,advice,false
tip,tip,false
informatie,information,false
nieuws,news,false
bericht,message,false
brief,letter,false
kaart,card,false
cadeau,gift,false
present,present,false
surprise,surprise,false
bezoek,visit,false
uitnodiging,invitation,false
afspraak,appointment,false
ontmoeting,meeting,false
gesprek,conversation,false
discussie,discussion,false
ruzie,argument,false
conflict,conflict,false
oorlog,war,false
vrede,peace,false
politiek,politics,false
regering,government,false
president,president,false
minister,minister,false
wet,law,false
regel,rule,false
recht,right,false
plicht,duty,false
vrijheid,freedom,false
gevangenis,prison,false
politie,police,false
rechter,judge,false
advocaat,lawyer,false
misdaad,crime,false
dief,thief,false
stelen,to steal,false
moord,murder,false
doden,to kill,false
geweld,violence,false
veiligheid,safety,false
gevaar,danger,false
risico,risk,false
bescherming,protection,false
hulp,help,false
redding,rescue,false
noodgeval,emergency,false
brand,fire,false
ongeluk,accident,false
ziekenwagen,ambulance,false
brandweer,fire department,false
verzekering,insurance,false
garantie,guarantee,false
contract,contract,false
akkoord,agreement,false
handtekening,signature,false
document,document,false
formulier,form,false
papier,paper,false
pen,pen,false
potlood,pencil,false
marker,marker,false
stift,pen,false
gum,eraser,false
liniaal,ruler,false
schaar,scissors,false
lijm,glue,false
tape,tape,false
map,folder,false
tas,bag,false
koffer,suitcase,false
rugzak,backpack,false
portemonnee,wallet,false
sleutels,keys,false
slot,lock,false
veiligheid,security,false
alarm,alarm,false
systeem,system,false
technologie,technology,false
machine,machine,false
apparaat,device,false
instrument,instrument,false
gereedschap,tool,false
hamer,hammer,false
schroef,screw,false
spijker,nail,false
zaag,saw,false
boor,drill,false
mes,knife,false
vork,fork,false
lepel,spoon,false
bord,plate,false
kom,bowl,false
glas,glass,false
fles,bottle,false
kan,jug,false
theepot,teapot,false
koffiepot,coffee pot,false
pan,pan,false
pot,pot,false
deksel,lid,false
koelkast,refrigerator,false
fornuis,stove,false
oven,oven,false
magnetron,microwave,false
wasmachine,washing machine,false
droger,dryer,false
stofzuiger,vacuum cleaner,false
televisie,television,false
radio,radio,false
computer,computer,false
laptop,laptop,false
tablet,tablet,false
smartphone,smartphone,false
telefoon,phone,false
internet,internet,false
wifi,wifi,false
website,website,false
e-mail,email,false
app,app,false
programma,program,false
software,software,false
hardware,hardware,false
data,data,false
informatie,information,false
bestand,file,false
map,folder,false
scherm,screen,false
toetsenbord,keyboard,false
muis,mouse,false
printer,printer,false
scanner,scanner,false
camera,camera,false
speaker,speaker,false
koptelefoon,headphones,false
batterij,battery,false
oplader,charger,false
kabel,cable,false
stekker,plug,false
schakelaar,switch,false
lamp,lamp,false
licht,light,false
elektriciteit,electricity,false
energie,energy,false
stroom,electricity,false
gas,gas,false
water,water,false
riolering,sewage,false
afval,waste,false
vuilnisbak,trash can,false
recycling,recycling,false
milieu,environment,false
natuur,nature,false
klimaat,climate,false
weer,weather,false
temperatuur,temperature,false
graden,degrees,false
celsius,celsius,false
fahrenheit,fahrenheit,false
barometer,barometer,false
thermometer,thermometer,false
kompas,compass,false
kaart,map,false
gps,gps,false
richting,direction,false
noorden,north,false
zuiden,south,false
oosten,east,false
westen,west,false
afstand,distance,false
kilometer,kilometer,false
meter,meter,false
centimeter,centimeter,false
millimeter,millimeter,false
gewicht,weight,false
kilogram,kilogram,false
gram,gram,false
volume,volume,false
liter,liter,false
snelheid,speed,false
per,per,false
uur,hour,false
minuut,minute,false
seconde,second,false
beweging,movement,false
rust,rest,false
stilstand,standstill,false
actie,action,false
activiteit,activity,false
werk,work,false
taak,task,false
opdracht,assignment,false
verantwoordelijkheid,responsibility,false
plicht,duty,false
rol,role,false
functie,function,false
positie,position,false
rangorde,ranking,false
niveau,level,false
graad,degree,false
kwaliteit,quality,false
kwantiteit,quantity,false
maat,size,false
grootte,size,false
vorm,shape,false
structuur,structure,false
ontwerp,design,false
stijl,style,false
mode,fashion,false
trend,trend,false
cultuur,culture,false
traditie,tradition,false
gewoonte,habit,false
ceremonie,ceremony,false
ritueel,ritual,false
festival,festival,false
concert,concert,false
theater,theater,false
bioscoop,cinema,false
museum,museum,false
galerie,gallery,false
bibliotheek,library,false
universiteit,university,false
college,college,false
instituut,institute,false
organisatie,organization,false
vereniging,association,false
club,club,false
team,team,false
groep,group,false
gemeenschap,community,false
samenleving,society,false
bevolking,population,false
burger,citizen,false
inwoner,resident,false
buitenlander,foreigner,false
toerist,tourist,false
bezoeker,visitor,false
gast,guest,false
gastheer,host,false
gastvrouw,hostess,false
eigenaar,owner,false
baas,boss,false
werkgever,employer,false
werknemer,employee,false
klant,customer,false
koper,buyer,false
verkoper,seller,false
leverancier,supplier,false
concurrent,competitor,false
partner,partner,false
bondgenoot,ally,false
vijand,enemy,false
vriend,friend,false
kennismaking,acquaintance,false
buurman,neighbor,false
buurvrouw,neighbor,false
huisgenoot,housemate,false
kamergenoot,roommate,false
medebewoner,co-resident,false
huisbaas,landlord,false
huurder,tenant,false
verhuurder,landlord,false
makelaar,real estate agent,false
architect,architect,false
ingenieur,engineer,false
technicus,technician,false
monteur,mechanic,false
elektricien,electrician,false
loodgieter,plumber,false
schilder,painter,false
timmerman,carpenter,false
bouwer,builder,false
arbeider,worker,false
vakman,craftsman,false
kunstenaar,artist,false
musicus,musician,false
zanger,singer,false
acteur,actor,false
schrijver,writer,false
dichter,poet,false
journalist,journalist,false
fotograaf,photographer,false
regisseur,director,false
producent,producer,false
presentator,presenter,false
commentator,commentator,false
interviewer,interviewer,false
reporter,reporter,false
nieuwslezer,news reader,false
weerman,weather forecaster,false
sportverslaggever,sports reporter,false
politicus,politician,false
diplomaat,diplomat,false
ambassadeur,ambassador,false
consul,consul,false
minister,minister,false
burgemeester,mayor,false
raadslid,council member,false
parlement,parliament,false
senaat,senate,false
kamer,chamber,false
regering,government,false
kabinet,cabinet,false
coalitie,coalition,false
oppositie,opposition,false
partij,party,false
verkiezingen,elections,false
stemmen,to vote,false
stemming,voting,false
uitslag,result,false
campagne,campaign,false
kandidaat,candidate,false
leider,leader,false
voorzitter,chairman,false
secretaris,secretary,false
penningmeester,treasurer,false
lid,member,false
bestuur,board,false
commissie,committee,false
vergadering,meeting,false
conferentie,conference,false
symposium,symposium,false
seminar,seminar,false
workshop,workshop,false
training,training,false
cursus,course,false
les,lesson,false
college,lecture,false
presentatie,presentation,false
lezing,lecture,false
toespraak,speech,false
debat,debate,false
onderzoek,research,false
studie,study,false
experiment,experiment,false
test,test,false
proef,trial,false
analyse,analysis,false
statistiek,statistics,false
cijfer,number,false
getal,number,false
rekening,calculation,false
som,sum,false
resultaat,result,false
uitkomst,outcome,false
conclusie,conclusion,false
bewijs,proof,false
feit,fact,false
waarheid,truth,false
leugen,lie,false
verhaal,story,false
sprookje,fairy tale,false
mythe,myth,false
legende,legend,false
geschiedenis,history,false
verleden,past,false
heden,present,false
toekomst,future,false
periode,period,false
tijdperk,era,false
eeuw,century,false
decennium,decade,false
generatie,generation,false
leeftijd,age,false
geboorte,birth,false
dood,death,false
leven,life,false
bestaan,existence,false
realiteit,reality,false
werkelijkheid,reality,false
fantasie,fantasy,false
verbeelding,imagination,false
droom,dream,false
nachtmerrie,nightmare,false
slaap,sleep,false
wakker,awake,false
bewustzijn,consciousness,false
gedachte,thought,false
herinnering,memory,false
vergeten,to forget,false
herinderen,to remember,false
leren,to learn,false
onderwijzen,to teach,false
uitleggen,to explain,false
begrijpen,to understand,false
snappen,to get,false
bevatten,to grasp,false
kennen,to know,false
weten,to know,false
geloven,to believe,false
vertrouwen,to trust,false
twijfelen,to doubt,false
hopen,to hope,false
wensen,to wish,false
willen,to want,false
verlangen,to desire,false
behoeven,to need,false
nodig hebben,to need,false
vereisen,to require,false
eisen,to demand,false
verzoeken,to request,false
vragen,to ask,false
smeken,to beg,false
dwingen,to force,false
overtuigen,to convince,false
overreden,to persuade,false
adviseren,to advise,false
suggereren,to suggest,false
voorstellen,to propose,false
aanbieden,to offer,false
geven,to give,false
schenken,to give,false
doneren,to donate,false
delen,to share,false
verdelen,to divide,false
splitsen,to split,false
scheiden,to separate,false
verenigen,to unite,false
samenbrengen,to bring together,false
combineren,to combine,false
mengen,to mix,false
mixen,to mix,false
roeren,to stir,false
kloppen,to beat,false
slaan,to hit,false
stoten,to push,false
trekken,to pull,false
duwen,to push,false
tillen,to lift,false
dragen,to carry,false
brengen,to bring,false
halen,to get,false
ophalen,to pick up,false
wegbrengen,to take away,false
meenemen,to take along,false
achterlaten,to leave behind,false
verlaten,to leave,false
vertrekken,to depart,false
aankomen,to arrive,false
bereiken,to reach,false
naderen,to approach,false
afstand houden,to keep distance,false
vluchten,to flee,false
ontsnappen,to escape,false
verbergen,to hide,false
verstoppen,to hide,false
zoeken,to search,false
vinden,to find,false
ontdekken,to discover,false
uitvinden,to invent,false
creëren,to create,false
maken,to make,false
bouwen,to build,false
consfalseren,to construct,false
ontwerpen,to design,false
plannen,to plan,false
organiseren,to organize,false
regelen,to arrange,false
voorbereiden,to prepare,false
klaarmaken,to prepare,false
afmaken,to finish,false
voltooien,to complete,false
eindigen,to end,false
stoppen,to stop,false
pauzeren,to pause,false
onderbreken,to interrupt,false
doorgaan,to continue,false
hervatten,to resume,false
herhalen,to repeat,false
oefenen,to practice,false
trainen,to train,false
ontwikkelen,to develop,false
verbeteren,to improve,false
repareren,to repair,false
herstellen,to restore,false
schoonmaken,to clean,false
wassen,to wash,false
drogen,to dry,false
strijken,to iron,false
vouwen,to fold,false
opruimen,to tidy up,false
sorteren,to sort,false
rangschikken,to arrange,false
indelen,to classify,false
groeperen,to group,false
verzamelen,to collect,false
sparen,to save,false
bewaren,to keep,false
opslaan,to store,false
wegleggen,to put away,false
plaatsen,to place,false
zetten,to put,false
leggen,to lay,false
hangen,to hang,false
bevestigen,to attach,false
vastmaken,to fasten,false
binden,to tie,false
knopen,to knot,false
loslaten,to let go,false
loskoppelen,to disconnect,false
aansluiten,to connect,false
verbinden,to connect,false
koppelen,to link,false
linken,to link,false
communiceren,to communicate,false
praten,to talk,false
spreken,to speak,false
zeggen,to say,false
vertellen,to tell,false
meedelen,to inform,false
berichten,to message,false
bellen,to call,false
opbellen,to call,false
terugbellen,to call back,false
ophangen,to hang up,false
luisteren,to listen,false
horen,to hear,false
verstaan,to understand,false
fluisteren,to whisper,false
schreeuwen,to shout,false
roepen,to call,false
zingen,to sing,false
neuriën,to hum,false
lachen,to laugh,false
glimlachen,to smile,false
grijnzen,to grin,false
huilen,to cry,false
snikken,to sob,false
jammeren,to wail,false
klagen,to complain,false
zeuren,to nag,false
mopperen,to grumble,false
protesteren,to protest,false
bezwaar maken,to object,false
kritiek hebben,to criticize,false
prijzen,to praise,false
complimenteren,to compliment,false
bedanken,to thank,false
verontschuldigen,to apologize,false
excuses maken,to apologize,false
sorry zeggen,to say sorry,false
spijt hebben,to regret,false
berouw hebben,to repent,false
vergeven,to forgive,false
straffen,to punish,false
belonen,to reward,false
feliciteren,to congratulate,false
wensen,to wish,false
groeten,to greet,false
welkom heten,to welcome,false
afscheid nemen,to say goodbye,false
dag zeggen,to say goodbye,false
vaarwel zeggen,to say farewell,false
tot ziens zeggen,to say see you later,false
doei zeggen,to say bye,false
hoi zeggen,to say hi,false
hallo zeggen,to say hello,false
goedemorgen zeggen,to say good morning,false
goedemiddag zeggen,to say good afternoon,false
goedenavond zeggen,to say good evening,false
goedenacht zeggen,to say good night,false
welterusten zeggen,to say sleep well,false
droom zacht,sweet dreams,false
slaap lekker,sleep well,false
rust uit,rest well,false
zorg goed voor jezelf,take care of yourself,false
pas goed op jezelf,take care of yourself,false
hou je taai,hang in there,false
veel succes,good luck,false
succes ermee,good luck with it,false
het beste,all the best,false
veel plezier,have fun,false
geniet ervan,enjoy it,false
fijn weekend,nice weekend,false
prettige vakantie,nice vacation,false
goede reis,safe trip,false
behouden thuiskomst,safe return home,false
van harte gefeliciteerd,heartfelt congratulations,false
gefeliciteerd,congratulations,false
proficiat,congratulations,false
hoera,hurray,false
fantastisch,fantastic,false
geweldig,great,false
super,super,false
top,top,false
prima,fine,false
goed zo,well done,false
uitstekend,excellent,false
perfect,perfect,false
prachtig,beautiful,false
mooi,beautiful,false
lief,sweet,false
schattig,cute,false
leuk,nice,false
fijn,fine,false
prettig,pleasant,false
aangenaam,pleasant,false
gezellig,cozy,false
ontspannen,relaxed,false
rustig,calm,false
vredig,peaceful,false
stil,quiet,false
druk,busy,false
hectisch,hectic,false
chaotisch,chaotic,false
wild,wild,false
gek,crazy,false
mal,silly,false
grappig,funny,false
lollig,funny,false
komisch,comical,false
hilarisch,hilarious,false
belachelijk,ridiculous,false
absurd,absurd,false
raar,weird,false
vreemd,strange,false
eigenaardig,peculiar,false
ongewoon,unusual,false
bijzonder,special,false
uniek,unique,false
zeldzaam,rare,false
kostbaar,precious,false
waardevol,valuable,false
dierbaar,dear,false
belangrijk,important,false
essentieel,essential,false
noodzakelijk,necessary,false
verplicht,mandatory,false
optioneel,optional,false
vrijwillig,voluntary,false
automatisch,automatic,false
handmatig,manual,false
persoonlijk,personal,false
privé,private,false
openbaar,public,false
algemeen,general,false
specifiek,specific,false
precies,precise,false
exact,exact,false
ongeveer,approximately,false
min of meer,more or less,false
zo'n beetje,kind of,false
een beetje,a bit,false
iets,something,false
niets,nothing,false
alles,everything,false
veel,much,false
weinig,little,false
genoeg,enough,false
te veel,too much,false
te weinig,too little,false
meer,more,false
minder,less,false
het meest,most,false
het minst,least,false
overal,everywhere,false
ergens,somewhere,false
nergens,nowhere,false
hier,here,false
daar,there,false
ginds,over there,false
links,left,false
rechts,right,false
rechtdoor,straight ahead,false
terug,back,false
vooruit,forward,false
omhoog,up,false
omlaag,down,false
binnen,inside,false
buiten,outside,false
thuis,home,false
weg,away,false
dichtbij,nearby,false
ver,far,false
vlakbij,close by,false
in de buurt,nearby,false
verderop,further away,false
hiernaast,next to this,false
daarnaast,next to that,false
tegenover,opposite,false
achter,behind,false
voor,in front of,false
tussen,between,false
onder,under,false
boven,above,false
naast,next to,false
langs,along,false
door,through,false
rond,around,false
rondom,around,false
om,around,false
over,over,false
via,via,false
per,per,false
volgens,according to,false
ondanks,despite,false
behalve,except,false
inclusief,including,false
exclusief,excluding,false
plus,plus,false
minus,minus,false
keer,times,false
gedeeld door,divided by,false
procent,percent,false
ongeveer,about,false
circa,approximately,false
rond,around,false
tegen,against,false
vanaf,from,false
tot,until,false
sinds,since,false
gedurende,during,false
tijdens,during,false
na,after,false
voor,before,false
eerder,earlier,false
later,later,false
vroeg,early,false
laat,late,false
op tijd,on time,false
te laat,too late,false
te vroeg,too early,false
precies op tijd,exactly on time,false
bijna,almost,false
net,just,false
pas,just,false
nog,still,false
al,already,false
niet meer,no longer,false
nog niet,not yet,false
nog steeds,still,false
altijd,always,false
nooit,never,false
soms,sometimes,false
vaak,often,false
zelden,rarely,false
regelmatig,regularly,false
gewoonlijk,usually,false
normaal,normally,false
meestal,mostly,false
af en toe,occasionally,false
nu en dan,now and then,false
elke dag,every day,false
iedere dag,every day,false
dagelijks,daily,false
wekelijks,weekly,false
maandelijks,monthly,false
jaarlijks,yearly,false
eenmalig,one-time,false
voortdurend,constantly,false
continu,continuously,false
permanent,permanently,false
tijdelijk,temporarily,false
definitief,definitively,false
voorgoed,forever,false
voor altijd,forever,false
eeuwig,eternal,false
oneindig,infinite,false
beperkt,limited,false
onbeperkt,unlimited,false
volledig,complete,false
gedeeltelijk,partially,false
half,half,false
kwart,quarter,false
derde,third,false
helft,half,false
stuk,piece,false
deel,part,false
geheel,whole,false
totaal,total,false
